openalex_id,level,parent_3,parent_2,parent_1,display_name,journals_count
C90509273,2,,Computer science,Artificial intelligence,Robot,3
C2993208542,2,,Engineering,Biochemical engineering,Industrial chemistry,3
C3017871827,2,,Medicine,Surgery,Total knee arthroplasty,3
C198531522,2,,Chemistry,Chromatography,Sample (material),3
C198043062,2,,Mathematics,Discrete mathematics,Metric space,3
C2778152352,2,,Mathematics,Mathematical analysis,Content (measure theory),3
C552854447,2,,Biology,Ecology,Sustainable development,3
C148730421,2,,Computer science,Computer network,Encryption,3
C82279013,2,,Business,Finance,Real estate,3
C26771246,2,,Materials science,Composite material,Scanning electron microscope,3
C2776133958,2,,Medicine,Pathology,Vegetation (pathology),3
C524211801,2,,Political science,Law,Legal education,3
C2776397901,2,,Computer science,Artificial intelligence,Verb,3
C2780797713,2,,Biology,Ecology,Water quality,3
C2780262971,2,,Political science,Law,Law enforcement,3
C531593650,2,,Geography,Archaeology,Colonialism,3
C76177295,2,,Engineering,Geotechnical engineering,Groundwater,3
C2986160967,2,,Business,Business administration,Business management,3
C178489894,2,,Computer science,Algorithm,Cryptography,3
C185429906,2,,Mathematics,Statistics,Estimator,3
C2780221984,2,,Biology,Endocrinology,Body mass index,3
C116856471,2,,Geography,Archaeology,Toponymy,3
C2778572836,2,,Philosophy,Linguistics,Space (punctuation),3
C2780791683,2,,Physics,Quantum mechanics,Action (physics),3
C58166,2,,Computer science,Artificial intelligence,Fuzzy logic,3
C2779161974,2,,Medicine,Cardiology,Atrial fibrillation,3
C551662922,2,,Political science,Law,Tax reform,3
C2780493683,2,,Medicine,Audiology,Hearing loss,3
C2776154427,2,,Political science,Law,Constitution,3
C2777546739,2,,Biology,Genetics,Carcinoma,3
C521259446,2,,Biology,Ecology,Pollution,3
C178229462,2,,Psychology,Developmental psychology,Early childhood education,3
C2777214474,2,,Medicine,Gastroenterology,Cirrhosis,3
C518851703,2,,Geography,Archaeology,Coal,3
C2778789114,2,,Medicine,Cardiology,Cardiac surgery,3
C22070199,2,,Biology,Immunology,Vaccination,3
C147583825,2,,Biology,Endocrinology,Body weight,3
C2777688943,2,,Sociology,Gender studies,Feminism,2
C26517878,2,,Computer science,Computer security,Key (lock),2
C2776006263,2,,Medicine,Anesthesia,Obstructive sleep apnea,2
C184608416,2,,Materials science,Composite material,Lubrication,2
C2776214188,2,,Computer science,Artificial intelligence,Inference,2
C2992452445,2,,Medicine,Dentistry,Periodontal disease,2
C171606756,2,,Medicine,Clinical psychology,Psychometrics,2
C2778571376,2,,Geography,Archaeology,Frontier,2
C91914117,2,,Engineering,Mechanical engineering,Coolant,2
C111326686,2,,Political science,Law,Value-added tax,2
C2778213512,2,,Medicine,Cardiology,Coronary artery disease,2
C167135981,2,,Medicine,Internal medicine,Retrospective cohort study,2
C529278444,2,,Biology,Endocrinology,Central nervous system,2
C30407753,2,,Materials science,Composite material,Compressive strength,2
C2778562196,2,,Biology,Endocrinology,Menopause,2
C2780814955,2,,Economics,Economic growth,Study abroad,2
C2781066024,2,,Biology,Biochemistry,Alcohol,2
C2780909375,2,,Mathematics,Mathematics education,Problem-based learning,2
C184651966,2,,Chemistry,Organic chemistry,Aqueous solution,2
C87668248,2,,Physics,Nuclear physics,Large Hadron Collider,2
C2778248108,2,,Medicine,Internal medicine,Anemia,2
C554190296,2,,Engineering,Aerospace engineering,Radar,2
C162077342,2,,Biology,Ecology,Tax credit,2
C204342414,2,,Political science,Law,Genocide,2
C98444146,2,,Physics,Astronomy,Galaxy,2
C9652623,2,,Mathematics,Pure mathematics,Field (mathematics),2
C2778328004,2,,Biology,Ecology,Squamata,2
C29730261,2,,Medicine,Internal medicine,Toxicity,2
C2776914184,2,,Biology,Immunology,Inflammation,2
C100521375,2,,Economics,Management,Competence (human resources),2
C2776151105,2,,Biology,Biochemistry,Oxidative stress,2
C2780868729,2,,Medicine,Internal medicine,Thrombosis,2
C41291067,2,,Biology,Ecology,Photovoltaic system,2
C162356407,2,,Chemistry,Chromatography,Mass spectrometry,2
C205778803,2,,Psychology,Developmental psychology,Autism,2
C2780415144,2,,Art,Art history,SAINT,2
C2779752776,2,,Biology,Botany,Eucalyptus,2
C207480886,2,,Biology,Immunology,Allergy,2
C79158427,2,,Computer science,Data mining,Analytics,2
C96961170,2,,Psychology,Psychoanalysis,Transactional analysis,2
C107130276,2,,Medicine,Internal medicine,Epidemiology,2
C2779010840,2,,Political science,Law,Treaty,2
C98184364,2,,Biology,Biochemistry,Argument (complex analysis),2
C51067260,2,,Economics,Economic growth,Professional development,2
C54847362,2,,Medicine,Internal medicine,Nephrology,2
C112964050,2,,Biology,Ecology,Livestock,2
C142932270,2,,Philosophy,Linguistics,Literary criticism,2
C142052008,2,,Medicine,Pathology,Cross-sectional study,2
C2779965577,2,,Medicine,Internal medicine,Kowsar,2
C117137515,2,,Physics,Particle physics,Quantum chromodynamics,2
C158739034,2,,Geography,Archaeology,Metropolitan area,2
C2994435560,2,,Biology,Botany,Plant science,2
C109986646,2,,Economics,Economic growth,Public policy,2
C160434732,2,,Chemistry,Organic chemistry,Thermal decomposition,2
C146357865,2,,Biology,Paleontology,Stage (stratigraphy),2
C3013748606,2,,Medicine,Family medicine,Human immunodeficiency virus (HIV),2
C70036468,2,,Geography,Archaeology,Immigration,2
C171878925,2,,Geography,Archaeology,Cave,2
C1370556,2,,Philosophy,Linguistics,Rhetoric,2
C2780769345,2,,Geography,Archaeology,Welsh,2
C2780047204,2,,Medicine,General surgery,Laparoscopy,2
C154238967,2,,Geography,Archaeology,Explosive material,2
C168031717,2,,Biology,Neuroscience,Balance (ability),2
C2777475103,2,,Medicine,Radiology,Varicose veins,2
C2778126366,2,,Economics,Economic growth,Unemployment,2
C35219183,2,,Philosophy,Linguistics,Portuguese,2
C184720557,2,,Mathematics,Combinatorics,Topology (electrical circuits),2
C2987263936,2,,Engineering,Manufacturing engineering,Materials processing,2
C20788544,2,,Physics,Optics,Photonics,2
C7602139,2,,Physics,Nuclear physics,Quark,2
C91632574,2,,Computer science,Data mining,Data curation,2
C555789112,2,,Geography,Archaeology,Onomastics,2
C204530211,2,,Geography,Meteorology,Thermal,2
C2780124745,2,,Philosophy,Linguistics,Tatar,2
C33556824,2,,Engineering,Geotechnical engineering,Hydrogeology,2
C2778584255,2,,Sociology,Gender studies,Queer,2
